long,short
applicableEventCategories,aecs
applicableEventCategory,aec
defaultRequestExpTime,dqet
defaultResultExpTime,dset
defaultOpExecTime,doet
defaultRespPersistence,drp
defaultDelAggregation,dda
limitsEventCategory,lec
limitsRequestExpTime,lqet
limitsResultExpTime,lset
limitsOpExecTime,loet
limitsRespPersistence,lrp
limitsDelAggregation,lda
targetNetwork,ttn
